날짜,사망,참사내역
1953-01-09,330,여객선 창경호 침몰
1963-01-18,138,여객선 연호 침몰
1970-04-08,33,마포와우아파트붕괴
1970-12-15,323,여객선 남영호 침몰
1971-12-25,165,대연각호텔 화재
1972-12-02,51,서울시민회관화재
1974-02-22,157,해군YTL선 전복
1974-11-03,88,청량리 대왕코너 화재
1977-11-11,59,이리역 열차폭발
1983-09-01,269,대한항공 보잉747기 피격
1987-11-29,115,대한항공(KAL) 보잉 707기공중폭파
1993-10-10,292,여객선 서해훼리호 침몰
1994-10-21,32,성수대교붕괴
1995-04-28,101,대구지하철 1호선 도시가스·폭발
1995-06-29,502,삼풍백화점 붕괴
1997-08-06,225,대한항공 B747-300기 괌 추락
2003-02-18,192,대구시지하철 방화
2014-04-16,299,세월호 침몰
2022-10-29,154,이태원 압사
