시도,연도,일산화탄소,질소산화물,황산화물,총부유먼지,미세먼지,초미세먼지,블랙카본,휘발성유기화합물,암모니아
서울특별시,1999,187689188,89735598,13555400,3443186,3188632,-,-,79956250,2479336
서울특별시,2000,193907158,96591381,8390786,3981308,3749690,-,-,85375349,2311820
서울특별시,2001,185166213,105708313,8988763,4756332,4532622,-,-,91768000,5341998
서울특별시,2002,170746245,110353980,7125549,4804442,4636994,-,-,90313105,5235590
서울특별시,2003,166006456,111697812,6719918,4839398,4683121,-,-,86144674,5362456
서울특별시,2004,161153974,103549221,6462396,4585378,4423739,-,-,77694501,5473238
서울특별시,2005,161873459,107257446,8050226,4487166,4310503,-,-,75969938,5408871
서울특별시,2006,159769899,87892856,7275528,3496036,3432990,-,-,68141857,5248553
서울특별시,2007,143110161,113086264,7835290,3996429,3919562,-,-,91458843,10579569
서울특별시,2008,114549997,71493077,5533414,2193957,2116491,-,-,80855134,4725083
서울특별시,2009,145101986,66997807,4325744,2014990,1950741,-,-,77586457,4789248
서울특별시,2010,130292138,71070438,4451248,1996260,1937900,-,-,76234193,4597786
서울특별시,2011,113308974,62066910,5123740,1804773,1742412,1553196.0,-,72053718,4793918
서울특별시,2012,106189660,61771033,4486383,1792928,1727467,1539529.0,-,72692803,4977819
서울특별시,2013,103038526,64021635,5709956,1807192,1735385,1531364.0,-,69762661,4806073
서울특별시,2014,62206030,62349860,3526849,1465494,1423732,1277876.0,750988.0,66289500,4708806
서울특별시,2015,53677893,63196772,5508763,22442234,9162575,2579660.0,793759.0,62916074,4667546
서울특별시,2016,56274801,73042479,4038923,21517525,8570515,2523717.0,808619.0,63098231,3945730
서울특별시,2017,56994468,77096401,1493223,24903997,10552663,2925904.0,976968.0,66947550,3804427
서울특별시,2018,59091323,88318614,1095384,31068615,15129997,3973381.0,1498115.0,72392596,3469369
서울특별시,2019,46566114,71009221,997981,23453497,9682231,2732309.0,931209.0,63689894,3547273
부산광역시,1999,55406177,48093183,21441424,3965413,3046823,-,-,32436946,856164
부산광역시,2000,52333174,50380752,23737813,3945004,3051419,-,-,35154529,773081
부산광역시,2001,55150971,56313579,22783554,4479893,3551770,-,-,37154865,2362552
부산광역시,2002,56935934,65366439,22581878,4668536,3758568,-,-,40919874,2427138
부산광역시,2003,47850165,65044933,23847756,3523912,3027076,-,-,37971952,2143909
부산광역시,2004,50187377,73486147,22553782,3468816,2994195,-,-,35013524,2521857
부산광역시,2005,51202521,68743289,22229790,3847384,3205962,-,-,34640284,2378602
부산광역시,2006,55211067,73939370,34356230,4276881,3485691,-,-,38841547,2356699
부산광역시,2007,52421030,62958934,32879168,3532916,2959168,-,-,40410869,4379592
부산광역시,2008,41448705,48552199,36916717,2574286,2043283,-,-,35640779,2095000
부산광역시,2009,50112388,55910766,32701641,3450688,3280165,-,-,36745501,2280108
부산광역시,2010,42220582,53777541,33458756,3196257,3091857,-,-,41682634,2233353
부산광역시,2011,37742815,52764473,32614636,3243686,3147418,2801555.0,-,44105795,2167710
부산광역시,2012,36880381,54467958,29114926,3239232,3130999,2776457.0,-,43483084,2104599
부산광역시,2013,36078678,53409176,21999685,3077559,2994853,2693298.0,-,42399281,2112438
부산광역시,2014,25559582,44795612,10535654,2494282,2222972,1848762.0,553602.0,40278917,2066510
부산광역시,2015,22019004,43754946,10658814,15680139,6606778,2457506.0,520522.0,42207033,1978058
부산광역시,2016,23387799,49467595,10776548,16684194,6903205,2543738.0,522770.0,40899117,1743921
부산광역시,2017,26433374,51869566,9526216,16666637,6957558,2616892.0,583845.0,42944574,1686241
부산광역시,2018,26661660,49950866,7897187,17031459,6885594,2644114.0,525045.0,42340472,1619633
부산광역시,2019,23918030,48553453,9113190,15029994,6232655,2522829.0,504212.0,35718553,1603047
대구광역시,1999,36611520,31959447,11319489,5155363,3757061,-,-,21329972,682871
대구광역시,2000,39476957,33449031,9251965,2459047,2003721,-,-,24210220,647904
대구광역시,2001,36710520,38068817,8896994,2780335,2313224,-,-,26738280,2226185
대구광역시,2002,32776079,36719722,7510991,2444602,2075576,-,-,26445751,2305816
대구광역시,2003,34442252,39276944,6862639,2478502,2147070,-,-,28287809,2168692
대구광역시,2004,41012618,41445800,5711193,2404605,2153688,-,-,42399642,2443696
대구광역시,2005,38251011,41551721,6814825,2759813,2342754,-,-,31470359,2258534
대구광역시,2006,43146046,39325294,7604736,2680002,2246695,-,-,30691927,2216818
대구광역시,2007,38271846,35210382,5464599,2436153,1993122,-,-,31055622,4194517
대구광역시,2008,33081043,26253119,5052197,1735743,1398799,-,-,26709327,2063775
대구광역시,2009,38182143,23731876,4639494,1707357,1330583,-,-,26726387,2046183
대구광역시,2010,34572210,24052916,4451124,1625925,1268610,-,-,27495090,2076637
대구광역시,2011,33058487,22529218,4226202,1559155,1240074,874495.0,-,27375909,2027365
대구광역시,2012,32290730,24743821,4390295,1731822,1360634,946833.0,-,27890892,2063231
대구광역시,2013,31526787,26936905,3829792,1585185,1310367,976578.0,-,34110019,2069871
대구광역시,2014,21607780,29051953,5120160,3775400,2532341,1479501.0,474147.0,31654192,2050862
대구광역시,2015,20440709,26193151,4184886,9886285,3938881,1380566.0,392253.0,31216200,2099584
대구광역시,2016,19990855,30109730,4187033,10209623,4018715,1409373.0,394851.0,31264349,1780113
대구광역시,2017,18335170,27198307,3489024,10055538,3695588,1267315.0,300346.0,31489732,1713761
대구광역시,2018,17213386,26369636,2595203,10707805,3911124,1293610.0,338163.0,31875289,1668164
대구광역시,2019,16401348,27681047,2291737,9925582,3976378,1334774.0,402754.0,33251476,1651410
인천광역시,1999,39972103,47205661,14696884,2309853,1775946,-,-,41440206,3574056
인천광역시,2000,47184528,51808889,16616778,2662295,2118748,-,-,46662353,4077821
인천광역시,2001,52197269,62571475,14161701,3062954,2514820,-,-,55538549,4747747
인천광역시,2002,48279627,62117792,12685141,3069185,2568683,-,-,52505565,4589830
인천광역시,2003,45911163,66822977,14567719,3546762,2969558,-,-,55809558,5486982
