요일,통학방식,출발시간,도착시간,지각여부,소요시간,위도,경도
금,도보,7H 35M 0S,7H 40M 0S,정상 등교,5M 0S,37.2185377,126.9528957
화,도보,8H 27M 0S,8H 35M 0S,정상 등교,8M 0S,37.2185377,126.9528957
월,도보,8H 30M 0S,8H 36M 0S,정상 등교,6M 0S,37.2185377,126.9528957
목,도보,8H 35M 0S,8H 42M 0S,정상 등교,7M 0S,37.2185377,126.9528957
금,도보,8H 35M 0S,8H 42M 0S,정상 등교,7M 0S,37.2185377,126.9528957
화,도보,8H 40M 0S,8H 45M 0S,정상 등교,5M 0S,37.2185377,126.9528957
금,도보,7H 49M 0S,8H 46M 0S,정상 등교,1H -3M 0S,37.2185377,126.9528957
수,도보,8H 40M 0S,8H 47M 0S,정상 등교,7M 0S,37.2185377,126.9528957
화,도보,8H 40M 0S,8H 47M 0S,정상 등교,7M 0S,37.2185377,126.9528957
월,도보,8H 35M 0S,8H 47M 0S,정상 등교,12M 0S,37.2185377,126.9528957
화,도보,8H 43M 0S,8H 50M 0S,지각,7M 0S,37.2185377,126.9528957
금,버스,7H 16M 0S,7H 40M 0S,정상 등교,24M 0S,37.2232776,126.973385
화,버스,7H 32M 0S,7H 50M 0S,정상 등교,18M 0S,37.2232776,126.973385
화,버스,7H 30M 0S,7H 50M 0S,정상 등교,20M 0S,37.2232776,126.973385
목,버스,7H 24M 0S,7H 50M 0S,정상 등교,26M 0S,37.2232776,126.973385
화,버스,7H 20M 0S,7H 50M 0S,정상 등교,30M 0S,37.2232776,126.973385
금,버스,7H 27M 0S,7H 52M 0S,정상 등교,25M 0S,37.2232776,126.973385
금,버스,7H 22M 0S,7H 52M 0S,정상 등교,30M 0S,37.2232776,126.973385
수,버스,7H 25M 0S,7H 53M 0S,정상 등교,28M 0S,37.2232776,126.973385
목,버스,7H 28M 0S,7H 54M 0S,정상 등교,26M 0S,37.2232776,126.973385
수,버스,7H 30M 0S,7H 55M 0S,정상 등교,25M 0S,37.2232776,126.973385
월,버스,7H 30M 0S,7H 55M 0S,정상 등교,25M 0S,37.2232776,126.973385
수,버스,7H 30M 0S,8H 1M 0S,정상 등교,1H -29M 0S,37.2232776,126.973385
