이름,시작일,종료일,임기,재임기간
이승만,1948-07-24,1960-04-27,1948-07-24 UTC--1960-04-27 UTC,11.759069130732374
윤보선,1960-08-12,1962-03-22,1960-08-12 UTC--1962-03-22 UTC,1.6071184120465434
박정희,1962-03-22,1979-10-26,1962-03-22 UTC--1979-10-26 UTC,17.596167008898014
최규하,1979-10-26,1980-08-16,1979-10-26 UTC--1980-08-16 UTC,0.8076659822039699
전두환,1980-08-16,1988-02-24,1980-08-16 UTC--1988-02-24 UTC,7.523613963039014
노태우,1988-02-25,1993-02-24,1988-02-25 UTC--1993-02-24 UTC,4.999315537303217
김영삼,1993-02-25,1998-02-24,1993-02-25 UTC--1998-02-24 UTC,4.996577686516085
김대중,1998-02-25,2003-02-24,1998-02-25 UTC--2003-02-24 UTC,4.996577686516085
노무현,2003-02-25,2008-02-24,2003-02-25 UTC--2008-02-24 UTC,4.996577686516085
이명박,2008-02-25,2013-02-24,2008-02-25 UTC--2013-02-24 UTC,4.999315537303217
박근혜,2013-02-25,2017-05-09,2013-02-25 UTC--2017-05-09 UTC,4.199863107460644
문재인,2017-05-10,2022-05-09,2017-05-10 UTC--2022-05-09 UTC,4.996577686516085
윤석열,2022-05-10,2022-10-31,2022-05-10 UTC--2022-10-31 UTC,0.47638603696098564
