성별,측정일자,키,몸무게,머리둘레,희망치수머리,목둘레,화장,젖가슴둘레,배꼽수준허리둘레,엉덩이둘레,샅높이,발길이,발폭,희망치수신발,몸무게(오른쪽),몸무게(왼쪽),윗가슴둘레(겨드랑이),허리둘레(윗허리),어깨가쪽사이길이,팔길이,등길이,다리가쪽길이,총장
여,2021-06-16,166.4,65.4,55.2,0,36.5,74.1,100.8,81.7,101.1,78,0,0,230,,,94.1,79.1,51.5,49.8,34,96.5,140.5
여,2021-06-16,161.8,56.6,58.1,0,35.2,76.1,89.1,79.8,94.6,75.5,0,0,245,,,90.9,74,48.7,53.4,31,94.5,135.5
여,2021-06-16,167.2,90,58.5,0,40.8,71,112.8,107.1,109.8,70.5,0,0,250,,,106.9,98.1,57.2,43.8,34.5,98,142.5
여,2021-06-16,167.2,53.3,54.7,0,34.4,62.3,81,68.3,90.9,80,0,0,240,,,81.7,69.7,48,40,29,101.5,140.5
여,2021-06-16,166.3,68.3,55.5,0,37.1,82.3,96.5,82,98.9,75.5,0,0,245,,,93.1,81.3,45.5,61.3,33,96.5,139.5
여,2021-06-16,160.7,67,53.9,0,37.4,68,122.9,87.2,100.7,74.5,0,0,230,,,96,83,47,44.9,31.5,93.5,135
여,2021-06-16,167.2,59.2,53.4,0,35.4,63.5,81.3,71.5,97.8,66.5,0,0,240,,,86.6,73.8,49,40.9,31.5,100,141.5
여,2021-06-16,166.1,57.9,52.5,0,35.3,60.1,82.8,73.8,94.7,71.5,0,0,250,,,85.5,73.5,42.7,39.1,29,101,140
여,2021-06-16,162.2,56.9,51.9,0,35.2,66,88.9,72.3,90.5,77,0,0,245,,,87.5,74.1,47.6,42.3,31,96.5,137.5
여,2021-06-16,158.5,51.4,54.7,0,34.3,72.8,85.2,70.1,90.5,72,0,0,225,,,86.4,70.4,49.2,49.1,34.5,91,135.5
여,2021-06-16,166.2,65.5,55,0,36.5,74.1,88.9,83.2,101.5,80,0,0,245,,,89.4,79.2,48.3,51.5,34.5,96.5,141
여,2021-06-16,166.4,61.7,45.2,0,35.9,75.5,88.3,85.5,99.6,73,0,0,245,,,89.2,76,49.6,51.7,36,90,136
여,2021-06-16,161.2,65.9,56.9,0,37.3,77.6,95.7,83.9,100.2,74.5,0,0,230,,,95.9,82.2,52.2,53.6,32.5,93,135.5
여,2021-06-16,162.2,65,56,0,36.9,62.4,93.5,83.3,96.7,74,0,0,250,,,91,80.7,43.6,42.7,34,91,135
여,2021-06-16,169.4,57.3,55.5,0,35,84.4,61.5,80.8,91.8,82.5,0,0,250,,,84.2,71.7,51.2,60.1,34,99,143
여,2021-06-16,162.2,47.3,53.6,0,33.1,60.7,75.4,64.4,88.6,78,0,0,235,,,77.7,64.7,47.2,36.8,26.5,98.5,135
여,2021-06-16,164.7,63.6,56.7,0,36.3,74.5,91.2,81,100.6,77.5,0,0,245,,,92.4,78.2,49.6,52.7,33.5,97.5,141
여,2021-06-16,166.7,52.3,55.2,0,34.3,76.8,85.6,74.1,92.6,79,0,0,0,,,85.1,69.3,48.3,55.6,29.5,101,140.5
여,2021-06-16,166,62.3,55.6,0,36,76.2,87.2,81.1,97.7,76,0,0,240,,,87.8,76.6,50.9,52.2,36,93,139
여,2021-06-16,165.4,65.2,54.7,0,36.5,63.5,90.4,82.1,100.1,73,0,0,245,,,89.9,79.2,43.4,42.1,33.5,97,140.5
여,2021-06-16,171.7,69.9,57.5,0,37,79.1,96.3,82.1,103.2,79,0,0,250,,,97.2,80.8,56.8,51.4,35,99.5,144.5
여,2021-06-16,164.5,54.7,54.1,0,34.5,77.8,85.8,72.9,91.8,76.5,0,0,0,,,82.5,71.2,50.9,54.2,30.5,98,138.5
여,2021-06-16,162.9,52.8,56.7,0,34.4,73.3,83.7,74.7,92.9,75,0,0,245,,,81.7,70.6,46.1,52.3,32,94,136
여,2021-06-16,170,61.9,55.4,0,35.8,78.7,87.1,83.3,98.7,79.5,0,0,250,,,89.8,74.5,50,56.5,36,97.5,143.5
여,2021-06-16,162.5,70.2,55.7,0,37.9,76.6,99.8,85.3,104.7,76.5,0,0,240,,,97.4,85.2,53.3,52.9,31,96,137
여,2021-06-16,162.6,45.4,52.6,0,33,0,77.6,63,87.9,74.5,0,0,225,,,79.2,64.3,0,147,36.6,94,140.6
여,2021-06-16,160.2,52.3,56.1,0,34.3,70.8,80.8,70.9,95.9,74.5,0,0,230,,,84.3,70.9,44.9,50.1,30,95,135
여,2021-06-16,161.5,47.7,53.5,0,33.1,54.6,82.4,65,88.5,75,0,0,240,,,85.2,64.9,46.9,30.4,22.5,102.5,135
여,2021-06-16,161.6,59.9,54.6,0,36.1,66.5,89.8,80.5,98.5,77,0,0,235,,,88.3,77.5,50.8,42.6,30,96,136
여,2021-06-16,168.4,64.8,56.4,0,36.3,75.4,92.1,79.5,101.4,80,0,0,245,,,90.1,77.6,46,52.9,32.5,99.5,142
여,2021-06-16,165.7,66.2,58.9,0,36.7,77.4,93.1,89.8,100.6,76.5,0,0,250,,,91,80.1,50.1,54.6,36.5,92.5,139
여,2021-06-16,156.1,62.6,56.4,0,36.3,75,95.8,83.4,99.9,72,0,0,230,,,93.7,79.2,48.6,53.2,30,92,132
여,2021-06-16,163.9,53.2,57.3,0,34.5,78,85.5,75.9,92.6,77,0,0,245,,,88,71,42.4,57.5,31,96.5,137.5
여,2021-06-16,153.7,61.4,53.2,0,36.7,59.4,93.5,75.2,99.7,67.5,0,0,235,,,91.9,78.8,51.5,35.4,30,89,129
여,2021-06-16,172.5,79.6,58.4,0,38.7,80.1,102.8,92.6,106.8,79.5,0,0,260,,,100.4,88.3,52.8,56,31,105,146
여,2021-06-16,158.4,52.9,57.2,0,34.7,74.4,85.6,76,96.3,74.5,0,0,240,,,86,71.8,46.3,52.8,30.5,91.5,132
여,2021-06-16,161.3,52.7,56.3,0,34.4,75.3,81.9,72.4,94.3,76,0,0,0,,,80.3,71,41.3,58.5,32,94.5,136.5
여,2021-06-16,159.4,64.2,54.8,0,37.2,73.9,95.5,86.2,100.6,72.5,0,0,245,,,95.5,81.4,52.2,49.3,35,89,134
여,2021-06-16,163.7,56.5,55,0,34.9,76.7,87.2,74.9,94.8,75,0,0,250,,,86.5,73.3,46.4,53.1,28,98,136
여,2021-06-16,166.5,62.3,54.8,0,36,79.5,92.2,75.9,96.3,77.5,0,0,250,,,91.2,76.4,50.4,56.1,30,99,139
여,2021-06-16,159.9,58.5,56.2,0,36.1,74.5,93.6,77.6,99.7,74,0,0,230,,,91.7,76.6,43.7,54.4,29.5,94.5,134
여,2021-06-16,162.6,71,58.3,0,38,78.4,92.1,87.4,106.7,78,0,0,240,,,91.3,85.9,53.9,53.4,29,98.5,137.5
여,2021-06-16,173.2,72.7,56.8,0,37.5,86.4,89.5,90.3,103.4,78,0,0,250,,,93,82.4,59,56.7,37.5,98.5,146
